Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"Big Brothers Big Sisters of Central Indiana","2022","Disclosure delayed for benefit of recipient","The mission of Big Brothers Big Sisters is to create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://www.bebigforkids.org","Indiana, US; Hamilton County, IN; Johnson County, IN; Marion County, IN","Cultural awareness; Bridging divides; Youth development; Gender identity; Race and ethnicity"
"Big Brothers Big Sisters of Central Iowa","2022","$1500000","Our mission is to create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://www.bbbsia.org/","Iowa, US","Creative youth development; Child development and welfare"
"Big Brothers Big Sisters of Central Minnesota","2022","$1500000","Our mission is to create and support one-to-one mentoring relationships that help youth in Central Minnesota reach their full potential. We are always adapting to support our changing population and make meaningful, professionally supported matches so youth achieve greater confidence, educational success, better relationships and hope for the future.","https://www.bigdefenders.org/","Benton County, MN; Sherburne County, MN; Stearns County, MN","Bridging divides; Vocational education; Youth development; Child development and welfare; Mental and behavioral health"
"Big Brothers Big Sisters of Central Ohio","2022","Disclosure delayed for benefit of recipient","To create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://www.bbbscentralohio.org/","Ohio, US; Columbus, OH","Livelihoods and workforce development; Youth development; Child development and welfare; Nonprofit sector strengthening"
"Big Brothers Big Sisters of Coastal & Northern New Jersey","2022","Disclosure delayed for benefit of recipient","Create and support one-to-one mentoring relationships that ignite the power and promise of youth","https://mentornj.org/","Asbury Park, NJ; Morristown, NJ; New Brunswick, NJ","Youth development; Gender identity; Race and ethnicity; Sexual orientation"
"Big Brothers Big Sisters of Colorado","2022","Disclosure delayed for benefit of recipient","Big Brothers Big Sisters of Colorado creates and supports one-to-one plus mentoring relationships that ignite the power and promise of youth.","https://www.biglittlecolorado.org/","Aurora, CO; Colorado Springs, CO; Denver, CO","Postsecondary, tertiary education; Youth development; Child development and welfare"
"Big Brothers Big Sisters of Delaware","2022","Disclosure delayed for benefit of recipient","Our mission is to create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://bbbsde.org/","Delaware, US; Kent County, DE; New Castle County, DE","Youth development"
"Big Brothers Big Sisters of Eastern Missouri","2022","$6000000","We partner with young people in THIER pursuit of a meaning, stable and independent life.","https://www.bbbsemo.org/","Missouri, US; St. Louis, MO","Elementary, secondary education; Postsecondary, tertiary education; Youth development; Race and ethnicity; Mental and behavioral health"
"Big Brothers Big Sisters of El Paso","2022","$900000","Create and support one-to-one mentoring relationships that ignite the power and promise of youth.","https://www.bbbsep.org/","Texas, US; El Paso, TX","Creative youth development; Youth development; Gender identity; Sexual orientation; Mental and behavioral health"
"Big Brothers Big Sisters of Essex, Hudson & Union Counties","2022","Disclosure delayed for benefit of recipient","Create and support one-to-one mentoring relationships that ignite the power and promise of youth, and to be a credible social justice organization embedded in our community.","https://www.bigsandkids.org/","Essex County, NJ; Hudson County, NJ; Union County, NJ","Civic and social engagement; Youth development; Incarceration and justice system involvement; Race and ethnicity"
"Big Brothers Big Sisters of Franklin County","2022","$500000","Mission : Create and support one-to-one mentoring relationships that ignite the power and promise of youth. Vision: All youth achieve their full potential.","https://bbbs-fc.org/","Franklin County, MA; North Quabbin, MA","Youth development; Gender identity; Race and ethnicity; Child development and welfare; Mental and behavioral health"
